,avg_iou,median_iou,success_50,success_75,fps,frames,energy_j,energy_wh,time_s
uav_car8_1,0.9134284925964926,0.9221384485192354,100.0,99.92625368731564,18.263244836680535,1356,2034.0,0.565,74.24748516082764
uav_car8_2,0.948910102625333,0.9499540131232145,100.0,100.0,18.288686574027718,1218,1827.0,0.5075,66.5985496044159
uav_car9,0.8461057201415403,0.855870366899926,98.7220447284345,97.23109691160809,19.88492686016904,1878,2817.0,0.7825,94.44339489936829
uav_group1_1,0.7835336183941584,0.8185190342918285,97.5975975975976,71.92192192192192,18.292232291665126,1332,1997.9999999999998,0.5549999999999999,72.81779384613037
uav_group1_2,0.7788007524479056,0.8075565774922691,96.19289340101524,76.22673434856176,18.37104285390349,1182,1773.0,0.4925,64.34038662910461
uav_group1_3,0.5617647979622893,0.5787815469770838,65.0354609929078,13.687943262411348,18.53392666114536,1410,2115.0,0.5875,76.0767011642456
uav_group1_4,0.6050301961872285,0.6319651332075538,77.63713080168776,14.345991561181433,18.401922259837768,948,1422.0,0.395,51.51635718345642
uav_group2_1,0.7390707396578915,0.8131186846346024,90.39735099337747,73.73068432671081,18.64242237594168,906,1359.0,0.3775,48.59883451461792
uav_group2_2,0.7582711164904253,0.7811987020906578,96.75925925925925,63.19444444444444,18.5726273264782,864,1296.0,0.36,46.520074129104614
uav_group2_3,0.6089974473007523,0.7323394811829285,80.04385964912281,45.17543859649123,18.69096670121777,912,1368.0,0.38,48.79362392425537
uav_group3_1,0.695711631028081,0.703069557706162,97.19029374201787,27.586206896551722,19.76086415869372,1566,2349.0,0.6525,79.24754643440247
uav_group3_2,0.5565778381665695,0.6499374540024019,69.04761904761905,19.444444444444446,18.384436873930913,1260,1890.0,0.525,68.53623032569885
uav_group3_3,0.6691635940512228,0.6547916635611407,93.90402075226977,25.745784695201035,18.444809294453222,1542,2313.0,0.6425,83.6007559299469
uav_group3_4,0.5966339210665308,0.6253182356898059,80.22452504317789,14.680483592400693,18.3766727851944,1158,1737.0,0.4825,63.01467156410217
uav_person1,0.8674737098243599,0.8749532045320498,100.0,95.48872180451127,18.399768757105228,798,1197.0,0.3325,43.370110273361206
uav_person10,0.7470445140057963,0.9044119215738993,83.43137254901961,78.72549019607843,18.242584431078345,1020,1530.0,0.425,55.91313028335571
uav_person11,0.8107116675133701,0.8500640717736976,97.36111111111111,74.16666666666667,18.224795180087554,720,1080.0,0.3,39.506616830825806
uav_person12_1,0.7750747468295804,0.7868277139596018,99.66666666666667,65.0,18.301643328308383,600,900.0,0.25,32.7839412689209
uav_person12_2,0.6095979495478515,0.6500753312469882,78.92156862745098,31.666666666666664,18.32013065004361,1020,1530.0,0.425,55.67645883560181
uav_person13,0.7158277325740596,0.7227293180249269,99.20634920634922,41.156462585034014,18.454344759405426,882,1323.0,0.3675,47.793623208999634
uav_person14_1,0.7711207345191531,0.8114807846379863,94.44444444444444,82.26950354609929,19.90202125324361,846,1269.0,0.3525,42.50824522972107
uav_person14_2,0.7939247319349036,0.8129205262428982,100.0,70.28985507246377,18.388238426256706,966,1449.0,0.4025,52.53358030319214
uav_person14_3,0.8309940926782574,0.83909631450164,100.0,86.84684684684684,18.433851412974605,1110,1665.0,0.4625,60.2153058052063
uav_person15,0.8392695878479338,0.844078677449003,100.0,88.56502242152466,18.31289335526777,1338,2007.0000000000002,0.5575000000000001,73.06327700614929
uav_person16,0.7627717546819119,0.8690663705666857,89.00523560209425,76.61431064572426,18.329634999565084,1146,1719.0,0.4775,62.521703243255615
uav_person17_1,0.7110058852809373,0.7408863458086052,94.93333333333334,47.93333333333333,17.965111164610704,1500,2250.0,0.625,83.49516940116882
uav_person17_2,0.838100281542232,0.8636621237065517,99.17257683215131,86.28841607565012,18.394212425592762,846,1269.0,0.3525,45.992727518081665
uav_person18,0.8038077220111703,0.8154856874446581,99.56896551724138,70.61781609195403,18.22966349614144,1392,2088.0,0.58,76.35906171798706
uav_person19_1,0.8710987909944782,0.9493437758626029,92.27053140096618,91.70692431561996,17.60788192162921,1242,1863.0,0.5175,70.53659296035767
uav_person19_2,0.608455009163527,0.9171622801305219,64.98708010335918,64.98708010335918,17.99306156776165,1548,2322.0,0.645,86.03316307067871
uav_person19_3,0.6790353545032894,0.7662226941786145,85.44061302681992,52.745849297573436,18.392063717114254,1566,2349.0,0.6525,85.14542055130005
uav_person1_s,0.756247737980027,0.8270518093490696,91.05691056910568,77.4859287054409,17.85936650608432,1599,2398.5,0.66625,89.53285098075867
uav_person2_1,0.7561418671045705,0.7665414754249562,99.41077441077442,55.639730639730644,18.41925534101713,1188,1782.0,0.495,64.49772143363953
uav_person2_2,0.6776692332798486,0.6894198156808159,92.39888423988842,22.384937238493723,18.268731442529567,1434,2151.0,0.5975,78.49477696418762
uav_person20,0.69718331388313,0.8608441756613436,81.03254769921436,70.7631874298541,19.50014396855653,1782,2673.0,0.7425,91.38394069671631
uav_person21,0.4140955622570728,0.561108041988473,54.11522633744856,24.279835390946502,18.568671446185025,486,729.0,0.2025,26.173116445541382
uav_person22,0.8577766180526039,0.8730298541529716,100.0,90.9090909090909,18.497739313466994,198,297.0,0.0825,10.704010725021362
uav_person23,0.6137042700889441,0.5978664909805632,84.59595959595958,13.636363636363635,18.262031500123513,396,594.0,0.165,21.68433451652527
uav_person2_s,0.8366929788041555,0.8418581583262534,100.0,97.99196787148594,18.103604424249006,249,373.5,0.10375,13.754167079925537
uav_person3,0.8693656384678898,0.8737033710741147,100.0,98.28660436137072,18.507297546799336,642,963.0,0.2675,34.689019203186035
uav_person3_s,0.8361119716891752,0.8547011987492361,97.61904761904762,89.88095238095238,17.946948995041204,504,756.0,0.21,28.082767724990845
uav_person4_1,0.7798815432740815,0.7870447788009277,99.33333333333333,66.06666666666666,18.4363565794759,1500,2250.0,0.625,81.3609778881073
