,avg_iou,median_iou,success_50,success_75,fps,frames,battery_start,battery_end,energy_consumed_j,energy_consumed_wh,ostrack_only_energy_j,energy_saved_j,energy_saved_percent,ostrack_frames,siamapn_frames,skip_frames,mode_switches,time_s
uav_car6_5,0.9433238344996171,0.9493147500339765,100.0,99.03846153846155,19.81145256368326,936,93.91719609392511,70.84937600850557,1245.6622846126556,0.3460173012812932,1404.0,158.33771538734436,11.277615056078657,936,0,0,0,47.245399951934814
uav_car7,0.1696075726206239,0.0,21.027131782945737,14.631782945736434,59.78604242902351,1032,71.06717134441845,68.39646935941248,144.21790719032288,0.040060529775089684,1548.0,1403.7820928096771,90.68359772672333,46,986,0,1,17.26155400276184
uav_car8_1,0.8677856780735288,0.876163577515507,100.0,96.01769911504425,49.94240836041255,1356,73.60916853688785,67.66948920563819,320.7426838874817,0.08909518996874491,2034.0,1713.2573161125183,84.23093982854071,149,1207,0,1,27.151273727416992
uav_car8_2,0.8850132035523639,0.897338564631849,100.0,94.33497536945814,63.216557640903545,1218,64.20298405033456,62.0734435804232,114.99518537521362,0.03194310704867045,1827.0,1712.0048146247864,93.70579171454769,0,1218,0,1,19.267104148864746
uav_car9,0.8417287438801315,0.8439580472269751,99.2545260915868,96.3258785942492,42.022931006939665,1878,80.92590874861125,67.71515638063792,713.3806278705597,0.1981612855195999,2817.0,2103.6193721294403,74.6758740550032,451,1427,0,1,44.68988609313965
uav_group1_1,0.6954300958957609,0.7317980692340992,88.96396396396396,45.72072072072072,30.624148320605258,1332,85.9403208540551,68.89421193710135,920.4898815155029,0.25569163375430637,1997.9999999999998,1077.5101184844968,53.92943535958443,667,665,0,1,43.49508714675903
uav_group1_2,0.7703319608498055,0.8058651033898848,94.24703891708968,74.5346869712352,21.26972040033141,1182,95.98446334627944,69.7606325271495,1416.086864233017,0.3933574622869492,1773.0,356.91313576698303,20.130464510264133,1071,111,0,1,55.5719575881958
uav_group1_3,0.30848518901088695,0.1760017653941942,34.04255319148936,9.432624113475176,66.26058861360983,1410,64.15463768221586,61.807551380659525,126.74266028404236,0.0352062945233451,2115.0,1988.2573397159576,94.00743923006893,0,1410,0,1,21.27961778640747
uav_group1_4,0.3086213757755136,0.25544571986028086,33.22784810126582,4.324894514767933,49.793838615749884,948,72.46978703977902,68.53971752257276,212.22375392913818,0.05895104275809394,1422.0,1209.7762460708618,85.07568537769774,104,844,0,1,19.0385000705719
uav_group2_1,0.08501847428097106,0.0,10.375275938189846,8.167770419426049,54.72089112795492,906,63.12413276475982,61.101352902673845,109.23011255264282,0.03034169793128967,1359.0,1249.7698874473572,91.96246412416168,0,906,0,1,16.556747913360596
uav_group2_2,0.7582711164904253,0.7811987020906578,96.75925925925925,63.19444444444444,19.652440249402154,864,97.51480754241686,76.33564820579696,1143.674604177475,0.3176873900492986,1296.0,152.32539582252502,11.753502764083722,864,0,0,0,43.96400594711304
uav_group2_3,0.6089974473007523,0.7323394811829285,80.04385964912281,45.17543859649123,19.98217376488466,912,98.36347950450454,76.46808037114018,1182.3515532016754,0.3284309870004654,1368.0,185.64844679832458,13.57079289461437,912,0,0,0,45.64068007469177
uav_group3_1,0.6067306197543206,0.6098119863644949,91.57088122605363,3.1928480204342273,62.659197362656336,1566,67.64968739480625,65.0988994514254,137.74254894256592,0.03826181915071276,2349.0,2211.257451057434,94.13611967038885,0,1566,0,1,24.992340564727783
uav_group3_2,0.5511482172035919,0.6361645738512902,68.0952380952381,19.047619047619047,20.79913659086242,1260,98.16084577717837,69.8035682557977,1531.2929861545563,0.42535916282071007,1890.0,358.7070138454437,18.97920708176951,1174,86,0,1,60.57943773269653
uav_group3_3,0.5890386488603511,0.6101013688485175,75.94033722438391,19.64980544747082,43.092801783086976,1542,77.76193095921519,68.01850778870161,526.1448512077332,0.14615134755770365,2313.0,1786.8551487922668,77.25270855133017,325,1217,0,1,35.78323841094971
uav_group3_4,0.2560102345968402,0.0,34.887737478411054,1.9861830742659756,53.733033667650545,1158,70.53697561925006,67.67133440060546,154.74462580680847,0.04298461827966902,1737.0,1582.2553741931915,91.09127082286652,24,1134,0,1,21.55098867416382
uav_person1,0.8659324694513696,0.8710398708422475,100.0,95.6140350877193,21.929420156014896,798,86.79590861628661,69.76064684840472,919.904135465622,0.25552892651822834,1197.0,277.09586453437805,23.149195032111784,686,112,0,1,36.38947105407715
uav_person10,0.18247886581805425,0.0,19.705882352941178,19.705882352941178,39.69913733654342,1020,75.05073259729649,68.14809521274053,372.74241876602173,0.10353956076833937,1530.0,1157.2575812339783,75.63775040744956,210,810,0,1,25.69325351715088
uav_person11,0.8107116675133701,0.8500640717736976,97.36111111111111,74.16666666666667,19.680165872598604,720,99.41864519411378,81.84901245197375,948.7601680755615,0.26354449113210043,1080.0,131.23983192443848,12.151836289299858,720,0,0,0,36.585057497024536
uav_person12_1,0.7750747468295804,0.7868277139596018,99.66666666666667,65.0,19.83605964536604,600,86.68293205677101,72.23276928840706,780.3087894916534,0.21675244152545928,900.0,119.69121050834656,13.299023389816284,600,0,0,0,30.24794292449951
uav_person12_2,0.6095979495478515,0.6500753312469882,78.92156862745098,31.666666666666664,19.74719060113155,1020,99.65869599783545,74.7529835919949,1344.90846991539,0.37358568608760834,1530.0,185.09153008460999,12.097485626445097,1020,0,0,0,51.65291714668274
uav_person13,0.7158277325740596,0.7227293180249269,99.20634920634922,41.156462585034014,19.74823168535339,882,98.94257895912537,77.72471757166063,1145.7645149230957,0.31826792081197103,1323.0,177.2354850769043,13.396484132797,882,0,0,0,44.66222667694092
uav_person14_1,0.1406488579342029,0.0,15.602836879432624,14.893617021276595,52.52824820560841,846,67.25825297010687,65.30278280107481,105.59538912773132,0.029332052535480924,1269.0,1163.4046108722687,91.67885034454441,0,846,0,1,16.10561990737915
uav_person14_2,0.8080047965226089,0.826515368375273,100.0,79.71014492753623,37.511772039097664,966,77.6548798977644,68.91865192622826,471.75631046295166,0.13104341957304214,1449.0,977.2436895370483,67.44262867750506,318,648,0,1,25.75191593170166
uav_person14_3,0.8266417684627149,0.8348760529527086,100.0,86.21621621621621,26.287022933278745,1110,86.91173533906415,69.29201369681721,951.4649686813354,0.26429582463370427,1665.0,713.5350313186646,42.854956835955825,708,402,0,1,42.226158618927
uav_person15,0.8368324449541376,0.8419692528113059,100.0,89.68609865470853,30.210465146080775,1338,86.14270336304307,68.88334806083286,932.0051863193512,0.2588903295331531,2007.0000000000002,1074.994813680649,53.56227272947927,669,669,0,1,44.28928828239441
uav_person16,0.2999359809604896,0.0,41.79755671902269,14.572425828970331,41.97038887224628,1146,75.32156952422466,68.25465046676712,381.6136291027069,0.10600378586186303,1719.0,1337.386370897293,77.8002542697669,226,920,0,1,27.304965019226074
uav_person17_1,0.678866308022263,0.7355734264029875,90.33333333333333,45.46666666666667,30.798178348561294,1500,86.76927209477233,68.67301270832118,977.1980068683624,0.27144389079676734,2250.0,1272.8019931316376,56.568977472517226,693,807,0,1,48.70417928695679
uav_person17_2,0.8364314700458869,0.8610227066642044,99.17257683215131,85.81560283687944,20.74409168492843,846,88.79342569820179,69.86527523862966,1022.1201248168945,0.2839222568935818,1269.0,246.87987518310547,19.454678895437784,793,53,0,1,40.78269672393799
uav_person18,0.7829054773140082,0.795977932139665,99.56896551724138,63.07471264367817,25.83662531445355,1392,91.33457829440934,68.73967441912903,1220.1248092651367,0.33892355812920466,2088.0,867.8751907348633,41.56490377082678,858,534,0,1,53.87700533866882
uav_person19_1,0.814464405883468,0.9035507623972863,88.80837359098228,87.68115942028986,50.13168891910054,1242,72.83930160095392,67.79253516529542,272.5253875255585,0.07570149653487736,1863.0,1590.4746124744415,85.37169149084495,117,1125,0,1,24.77474880218506
uav_person19_2,0.8731807083648633,0.9233448324020066,94.44444444444444,94.05684754521964,65.19606993405809,1548,63.882426739910365,61.25284672783614,141.99732065200806,0.03944370018111335,2322.0,2180.002679347992,93.884697646339,0,1548,0,1,23.743762493133545
uav_person19_3,0.6935006307684225,0.8009086599566398,85.37675606641125,60.02554278416348,27.395555847851337,1566,93.37670455562898,68.94608590745314,1319.2534070014954,0.3664592797226376,2349.0,1029.7465929985046,43.83765828005554,975,591,0,1,57.162556171417236
uav_person1_s,0.39876662668994556,0.37141849290986334,45.716072545340836,28.580362726704188,52.37176055306431,1599,61.0089007280601,57.42747743219133,193.39685797691345,0.053721349438031515,2398.5,2205.1031420230865,91.93675805808157,0,1599,0,1,30.531721353530884
uav_person2_1,0.7510449549654257,0.7610273402143477,99.83164983164983,53.535353535353536,66.8492413537646,1188,69.55072955386103,67.56000647817093,107.49904608726501,0.029860846135351393,1782.0,1674.500953912735,93.96750583124214,0,1188,0,1,17.771331071853638
uav_person2_2,0.6784031374862833,0.6843696053187913,95.18828451882845,20.711297071129707,25.065558514759733,1434,94.28433347717981,69.20615659464791,1354.221551656723,0.3761726532379786,2151.0,796.778448343277,37.04223376770233,997,437,0,1,57.20997595787048
uav_person20,0.7995852307238898,0.8151920104290107,99.10213243546578,74.85970819304153,47.713715627482955,1782,62.01841617565099,57.2357856879264,258.2620463371277,0.0717394573158688,2673.0,2414.7379536628723,90.33812022681902,0,1782,0,1,37.34775161743164
uav_person21,0.37375634870404806,0.4831827352314527,47.11934156378601,7.4074074074074066,63.61694804754032,486,67.76436736192852,66.90712337367948,46.291175365448,0.012858659823735555,729.0,682.708824634552,93.65004453148862,0,486,0,1,7.6394736766815186
uav_person22,0.8577766180526039,0.8730298541529716,100.0,90.9090909090909,19.041294809215085,198,79.03622697158617,74.05710552497668,268.87255811691284,0.07468682169914245,297.0,28.127441883087158,9.4705191525546,198,0,0,0,10.398452520370483
uav_person23,0.38956406672350846,0.461361010161492,43.686868686868685,4.040404040404041,62.640368396532764,396,69.4073461900796,68.66449488860378,40.1139702796936,0.011142769522137112,594.0,553.8860297203064,93.24680635021994,0,396,0,1,6.3218019008636475
uav_person2_s,0.8381728890079175,0.8411532237065457,100.0,97.99196787148594,23.506921833928565,249,74.36406503252849,69.83970643325424,244.31536436080933,0.0678653789891137,373.5,129.18463563919067,34.587586516516915,183,66,0,1,10.59262466430664
uav_person3,0.8508174529415287,0.853155296473139,100.0,96.41744548286604,66.95224996432022,642,65.80654068535354,64.71457870107236,58.96594715118408,0.0163794297642178,963.0,904.0340528488159,93.87684868627372,0,642,0,1,9.588923454284668
uav_person3_s,0.7350730678579271,0.7865268835178828,89.0873015873016,61.30952380952381,55.746835911710825,504,65.42552085285611,64.42346561406171,54.11098289489746,0.015030828581915961,756.0,701.8890171051025,92.84246258004002,0,504,0,1,9.040871858596802
uav_person4_1,0.770063917955507,0.7748816237699725,99.4,59.199999999999996,61.98815874530163,1500,63.91152044342663,61.193005206254185,146.799822807312,0.04077772855758667,2250.0,2103.200177192688,93.47556343078614,0,1500,0,1,24.198169946670532
uav_person4_2,0.8807076295172644,0.8867287413543449,100.0,98.87278582930756,61.66099787086956,1242,66.06738816845125,63.78569511608873,123.21142482757568,0.03422539578543769,1863.0,1739.7885751724243,93.38639694967388,0,1242,0,1,20.1423921585083
